Index,Long_Name,Stock1,Stock1 weight,Stock2,Stock2 weight,Stock4,Stock4 weight,Stock5,Stock5 weight,Stock6,Stock6 weight,Stock7,Stock7 weight,Stock8,Stock8 weight,Stock9,Stock9 weight,Stock10,Stock10 weight,Stock11,Stock11 weight,Stock12,Stock12 weight,Stock13,Stock13 weight,Stock14,Stock14 weight,Stock15,Stock15 weight,Stock16,Stock16 weight,Default Stock
TJI_AutoAnc,TJI AutoAnc,MOTHERSON.NS,0.01,UNOMINDA.NS,0.01,JBMA.NS,0.01,MINDACORP.NS,0.01,LUMAXTECH.NS,0.01,JAMNAAUTO.NS,0.01,MSUMI.NS,0.01,SONACOMS.NS,0.01,ENDURANCE.NS,0.01,ASKAUTOLTD.NS,0.01,,,,,,,,,,,^NSEI
TJI_Transf,TJI Transformer,VOLTAMP.NS,0.01,TARIL.BO,0.01,APARINDS.NS,0.01,CGPOWER.NS,0.01,GVT&D.NS,0.01,ADANIENSOL.NS,0.01,THERMAX.NS,0.01,POWERINDIA.NS,0.01,SIEMENS.NS,0.01,SHILCTECH.NS,0.01,INDOTECH.NS,0.01,ABB.NS,0.01,,,,,,,^NSEI
TJI_Abrasives,TJI Abrasives,WENDT.NS,0.01,GRINDWELL.NS,0.01,CARBORUNIV.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Pumps,TJI Pumps,ELGIEQUIP.NS,0.01,KSB.NS,0.01,SHAKTIPUMP.NS,0.01,ROTO.NS,0.01,KIRLPNU.NS,0.01,WPIL.BO,0.01,OSWALPUMPS.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_Hsg_Fn,TJI HSG FN,BAJAJHFL.NS,0.01,HUDCO.BO,0.01,LICHSGFIN.NS,0.01,PNBHOUSING.NS,0.01,AADHARHFC.NS,0.01,AAVAS.NS,0.01,HOMEFIRST.NS,0.01,APTUS.NS,0.01,INDIASHLTR.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_INFRA,TJI INFRA,^CNXINFRA,0.01,^CNXINFRA,0.01,JKIL.NS,0.01,LT.NS,0.01,IRB.NS,0.01,NCC.NS,0.01,DBL.NS,0.01,AFCONS.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_DATACTR,TJI DATACTR,ANANTRAJ.NS,0.01,NETWEB.NS,0.01,TECHNOE.NS,0.01,E2E.NS,0.01,BBOX.NS,0.01,AURIONPRO.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_EThNOL,TJI Ethanol,PRAJIND.NS,0.01,EIDPARRY.NS,0.01,RENUKA.NS,0.01,BALRAMCHIN.NS,0.01,BAJAJHIND.NS,0.01,DWARKESH.NS,0.01,BANARISUG.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_TeaCofe,TJI TeaCoffee,TATACONSUM.NS,0.01,CCL.NS,0.01,VINCOFE.BO,0.01,VINCOFE.NS,0.01,ANDREWYU.NS,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Solar,TJI Solar,GREENPOWER.NS,0.01,INOXWIND.NS,0.01,KPIGREEN.NS,0.01,NTPCGREEN.NS,0.01,WAAREEENER.NS,0.01,JSWENERGY.NS,0.01,ADANIGREEN.NS,0.01,SJVN.NS,0.01,ACMESOLAR.NS,0.01,INDOWIND.NS,0.01,ALPEXSOLAR.NS,0.01,INA.NS,0.01,SWSOLAR.NS,0.01,WAAREERTL.NS,0.01,WEBELSOLAR.NS,0.01,^NSEI
TJI_SemiCond,TJI SemiConductor,MOSCHIP.NS,0.01,ASMTEC.BO,0.01,KAYNES.NS,0.01,SPELS.BO,0.01,CGPOWER.NS,0.01,KPITTECH.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Wastemgmt,TJI Waste Mgmt,AWHCL.NS,0.01,ECORECO.BO,0.01,CEWATER.NS,0.01,NAMOEWASTE.NS,0.01,GRAVITA.NS,0.01,GANECOS.NS,0.01,JAINREC.NS,0.01,POCL.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_PreFab,TJI Prefab,INTERARCH.NS,0.01,EPACKPEB.NS,0.01,MBEL.NS,0.01,EVERESTIND.NS,0.01,PENIND.NS,0.01,MBEL.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_PreEng,TJI Presision Eng,KDDL.NS,0.01,RATNAVEER.NS,0.01,JYOTICNC.NS,0.01,GALAPREC.NS,0.01,AZAD.NS,0.01,SANSERA.NS,.01,OBSCP.NS,.01,NRBBEARING.NS,.01,AEQUS.NS,.01,UNIMECH.NS,.01,SIKA.NS,.01,DYNAMATECH.NS,.01,ROSSTECH.NS,.01,,,,,^NSEI
TJI_C0-wrk,TJI Co-Work,AWFIS.NS,0.01,EFCIL.NS,0.01,SMARTWORKS.NS,0.01,WEWORK.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Cnsr-EMS,TJI Consumer-EMS,AMBER.NS,0.01,AVALON.NS,0.01,DIXON.NS,0.01,KAYNES.NS,0.01,SYRMA.NS,0.01,PGEL.NS,0.01,OPIEMUS.NS,0.01,INFLAME.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_DIARY,TJI DIARY,HATSUN.NS,0.01,HERITGFOOD.NS,0.01,MILKYMIST.NS,0.01,NESTLEIND.NS,0.01,PARAGMILK.NS,0.01,VADILALIND.NS,0.01,KWIL.NS,.01,DODLA.NS,.01,,,,,,,,,,,,,,,^NSEI
TJI_GEO-SPE,TJI Geo-SPACE,GENESYS.NS,0.01,MAPMYINDIA.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_GLD-LOAN,TJI GOLD-LOAN,FEDFINA.NS,0.01,MANAPPURAM.NS,0.01,MUTHOOTFIN.NS,0.01,IIFL.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_HVY-ENG,TJI HEAVY-ENG,BEWLTD.NS,0.01,GMMPFAUDLR.NS,0.01,HLEGLAS.NS,0.01,KLBRENG.NS,0.01,PRAJIND.NS,0.01,THERMAX.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Micro-loan,TJI Micro-Fin,ARMANFIN.NS,0.01,CREDITACC.NS,0.01,FUSION.NS,0.01,SATIN.NS,0.01,SPANDANA.NS,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Refrig-Gas,TJI_Refrig-Gas,FLUOROCHEM.NS,0.01,JUBLINGREA.NS,0.01,NAVINFLUOR.NS,0.01,SRF.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Water-EPC,TJI_Water-EPC,EMSLIMITED.NS,0.01,IONEXCHANG.NS,0.01,JASH.NS,0.01,VPRPL.NS,0.01,WABAG.NS,0.01,WELENT.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_xx,TJI_xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
